uid,anime_uid,Mean_score
1572,2034,9
1573,1002,9
1575,853,9
1576,2926,7
1577,1193,9
1578,1292,10
1580,57,10
1581,1735,7
1584,2167,9
1586,245,10
1587,1546,9
1588,879,9
1591,170,8
1592,1520,9
1594,782,7
1595,1965,4
1598,2251,9
1601,1678,8
1604,2030,8
1606,2251,9
1607,1017,8
1610,2862,2
1611,1887,6
1612,2131,7
1613,855,9
1617,327,7
1618,713,3
1619,1243,7
1620,1559,7
1622,1535,9
1625,369,9
1629,565,7
1630,2154,8
1631,1210,8
1633,120,8
1634,2494,6
1635,150,10
1636,969,7
1637,1239,6
1643,1233,8
1644,567,9
1645,150,10
1646,405,9
1647,226,10
1648,1050,8
1650,237,10
1651,1240,7
1655,121,10
1657,1454,10
1659,209,8
1660,2889,9
1662,2404,7
1663,1689,10
1673,982,1
1675,521,7
1677,1726,10
1682,158,9
1684,790,8
1685,235,9
1686,50,9
1687,165,8
1688,1195,10
1689,584,9
1690,21,10
1691,3456,7
1692,521,8
1694,356,9
1697,1719,10
1698,227,8
1699,1818,9
1700,2403,7
1702,2248,1
1708,269,8
1710,882,10
1711,1858,10
1712,2476,7
1713,146,10
1714,1696,10
1715,2926,8
1717,2970,9
1718,2605,8
1720,2963,9
1722,2926,9
1725,1818,9
1731,2926,9
1733,2448,8
1734,28,7
1735,157,9
1737,401,9
1738,58,9
1739,272,7
1740,2188,7
1744,389,10
1745,2924,10
1746,30,10
1747,605,10
1750,468,9
1753,1688,9
1754,60,10
1755,1230,8
1756,1735,7
1757,1575,7
1760,2964,7
1761,2747,9
1763,98,10
1764,68,7
1766,66,9
1767,2403,8
1769,2105,9
1770,24,10
1771,61,10
1772,237,6
1773,1575,7
1776,2924,10
1777,1699,6
1782,1735,10
1783,1559,9
1785,667,8
1786,144,8
1788,120,8
1789,2924,10
1790,878,8
1791,21,10
1793,1562,8
1796,846,10
1797,845,9
1798,910,7
1799,478,7
1801,667,10
1802,957,10
1803,2508,10
1804,2002,9
1807,1006,10
1808,2604,9
1809,811,7
1810,189,10
1811,2605,8
1814,270,8
1817,2251,9
1820,1688,6
1821,1604,10
1822,229,7
1823,495,7
1825,240,9
1826,272,7
1828,205,9
1832,20,9
1837,1889,9
1838,2001,10
1839,477,9
1840,918,9
1844,1807,6
1847,713,7
1848,1193,10
1851,330,9
1852,149,9
1854,2159,10
1855,1575,8
1856,934,10
1857,44,10
1859,143,5
1862,1887,10
1864,600,10
1865,1813,9
1868,3090,7
1869,237,10
1872,304,10
1876,1361,7
1877,442,5
1878,1807,8
1879,401,2
1880,44,10
1881,2924,10
1882,597,8
1885,2993,7
1891,32,9
1893,519,8
1894,2216,10
1895,1827,10
1896,584,10
1897,2001,10
1898,1292,6
1900,1535,10
1902,1530,10
1903,585,9
1904,949,10
1905,150,8
1907,1002,10
1908,2067,7
1909,1566,10
1911,486,10
1912,1535,10
1914,476,8
1915,465,8
1917,161,9
1921,64,10
1922,269,10
1923,117,10
1924,935,7
1925,229,7
1929,2030,8
1930,19,9
1935,93,10
1938,2964,8
1940,2001,9
1946,323,7
1947,2025,7
1948,2596,8
1949,1943,9
1951,48,6
1954,2157,8
1955,2001,9
1956,857,8
1958,2927,9
1959,1601,9
1960,2596,7
1963,1818,7
1964,2744,8
1965,658,9
1966,1699,9
1967,2175,9
1969,1194,8
1970,790,6
1971,121,10
1972,169,8
1973,2163,4
1974,2595,7
1975,1726,7
1981,440,10
1982,688,8
1985,2787,5
1986,918,9
1987,2796,7
1988,182,8
1989,2993,5
1991,2107,7
1993,1251,7
1996,2963,8
1997,97,8
2001,1726,9
2002,3174,4
2003,21,8
2005,33,10
2006,326,8
2007,934,9
2009,1575,10
2013,249,3
2014,1205,10
2018,202,10
2019,19,9
2020,17,7
2021,90,10
2022,1829,8
2023,95,10
2027,3002,10
2030,2251,10
2032,599,5
2033,513,10
2034,207,10
2035,61,7
2036,732,7
2039,1002,8
2043,2798,9
2044,20,8
2045,516,10
2048,1032,6
2049,22,9
2050,388,9
2052,269,9
2060,94,9
2062,1241,10
2065,121,10
2066,889,10
2068,1536,10
2070,1579,10
2071,1571,10
2072,1699,9
2075,339,5
2076,801,5
2077,2963,10
2078,467,8
2081,268,2
2084,953,9
2087,2926,3
2089,1535,10
2094,1696,5
2096,710,8
2098,877,10
2100,2112,8
2101,237,10
2102,1726,10
2103,317,7
2104,102,10
2105,1792,8
2106,1072,9
2108,849,10
2109,2685,10
2110,763,10
2111,584,8
2114,1013,8
2119,1579,6
